userName,score,at,content
iseu nurul wahidah,1,2024-09-25 15:25:21,Aplikasi busuk..saldo hilang di aplikasi ini
Feri Saputra,5,2024-09-25 14:03:32,Terbaik
Zuki GRN,5,2024-09-25 13:25:04,Good
fajar maulana,1,2024-09-25 11:36:48,PERNAH JAYA PADA MASANYA SEBAGAI SELLER DIBUKALAPAK SEBELUM AKHIRNYA TOKO SAYA DIBEKUKAN SEPIHAK ... TERIMAKASIH BUKALAPAK
Perwhira Studio,5,2024-09-25 11:07:05,luarbiasa
Khadut Gaming,1,2024-09-25 10:40:47,Bukalapak buruk sekarang pelayanan cs nya susah di hubungi nya
atik siswati,2,2024-09-25 09:12:14,"Pernah kecewa, waktu beli emas, trus data di bukalapak hilang, mana sempat saya ss transaksi saya, saya pikir smua sdh trdata di aplikasi bukalapak"
Imam Bukori,1,2024-09-25 09:01:49,"Mengecewakan, saya lebih tertarik aplikasi sebelah"
Sumono Mono,5,2024-09-25 07:25:03,Mempermudah
zainal muchlisin,5,2024-09-25 04:55:03,Bagus
Ahmad Mustofa,5,2024-09-25 02:16:00,good
ari irawan,5,2024-09-24 22:59:26,"Balik lagi gunain ""bukalapak"".. sudah banyak potongan lagi.. terimakasih.. tambah sukses ya"
ari anak baik,1,2024-09-24 18:23:57,hati hati apk yang sering di salah gunakan oleh oknum buat penipuan
Joseph Surya,5,2024-09-24 13:00:27,"Semakin sukses bukalapak,memberikan kemudahan dalam pilihan barang dan mudah untuk bertransaksi, sukses selalu Top..."
Usman Sholahudin,1,2024-09-24 11:30:15,"Mau jual barang aja susah betul banyak yg harus di isi, pdhal kategori barang sdh sesuai ttp gak bisa alasan nya gak sesuai kategori"
Giogino Gwen,2,2024-09-24 03:44:50,Mall Shop Shopping Aplikasi Bukalapak App SerGio14 😍😍😍
Dzx D.R,1,2024-09-24 00:21:29,"Verifikasi nomor aja susah amat, Daritadi nungguin SMS muncul aja buat dapetin kode gak ada, giliran masukin password sendiri gak bisa, Password tidak valid, pertanyaan nya gimana caranya dapetin kode verifikasi??"
ummi hardianti,5,2024-09-23 22:25:28,bukalapak sekarang barang-barangnya mahal ya....disebelah hijau dan orange murah2 ada apa dengan bukalapak....
Indra lesmana tisen,1,2024-09-23 20:36:17,Bukalapak binatang...kalau mau nipu cari lh yang berkelas sedikit...tutup saja Bukalapak anda ini binatang..jangan kalian coba download buka lapak pepek
Agung Ambon,1,2024-09-23 17:09:54,"Sempat jaya d BL taun 2018 _2021 Ampe dapat limit modal tambahan dari buka modal , tapi entah kenapa awal 2022 toko d bekukan tanpa kejelasan. Padahal ramai yg belanja ..sampe skrg tak pernah saya jualan lagi ataupun belanja. Kalah saing ma toko online lain"
Rianto Anto,5,2024-09-23 11:35:41,sangat muda beli pelatihan di buka lapak
Saripah Sari,5,2024-09-23 10:54:54,Mantap
Danung Puspo Sembodo,5,2024-09-23 09:53:56,Wow harga pulsa nya bisa diadu
Untung Raharjo,5,2024-09-23 09:03:21,Mudah digunakan
Bahagia BapakBahagia,5,2024-09-23 06:50:20,Ok
Abdul Aziz,5,2024-09-23 05:45:39,Good
Rain Day,5,2024-09-23 05:21:34,"Saya liat masih ada aplikasi bukalapak di hp,pas dibuka ternyata masih ada ya blm bangkrut. Susah ya bersaingnya..."
Mbah Bowo,5,2024-09-23 04:58:51,"Bagusss, banyakin lagi promo dan diskon ongkir, terimakasih dan sukses selalu bukalapak😍"
Andri Irawan,1,2024-09-23 04:06:07,Paylater by kredivonya kok jd gak ada
Didik Supriyanto,5,2024-09-23 03:06:25,"Dengan buka lapak, mempermudah belanja👌"
yudistira Darlis,5,2024-09-23 02:51:02,"Barang sudah diterima, mantap pengiriman waktunya cepat. Tks"
Ivan Hutabarat,5,2024-09-23 00:36:29,Bagus dan bermanfaat
syamsul arief,5,2024-09-22 23:30:14,sdh oke n8h bukalapak
SLEMBET,1,2024-09-22 22:35:47,Login aja di persulit
Oke Kung,5,2024-09-22 17:59:56,"BUAT LU YG BIKIN SYSTEM VERIFIKASI, SELAMAT ANDA MANGHANCURKAN BUKALAPAK, BANYAK PELAPAK TUTUP KARNA SULITNA VERIFIKASI, KTP BNER WAJAH BNER, GAGAL TRUS, 🙏 SELAMAT TINGGAL BUKALAPAK..."
Heri Crew_id,1,2024-09-22 16:01:17,saya merasa di rugikan karna saldo dana saya terkuras gara2 transaksi buka lapak pdahal saya sama sekali gk melakukan transaksi hati2 d buka lapak banyak penipuann mending ni app di tendang aj dari playsotore
Amin Riyanto,5,2024-09-22 01:51:14,Ok
Mingun Musta,1,2024-09-22 00:07:24,Apk paling ribet daftar seller aja ribet
RAHMAT WAHIDIN (Memed),5,2024-09-21 19:32:12,Mantap
Zeth Saldy Suly,5,2024-09-21 14:12:31,Mantap
DJ Zanto MDC,5,2024-09-21 14:07:20,keren
Edhy Suratmo,5,2024-09-21 10:22:00,Semoga makin joossss lahhh Buka lapak
Frins Barack,5,2024-09-21 06:38:07,"Blm tau gmn untuk saya, tapi tetap saya suport baik 5bintngny"
ULLY RUSLI,5,2024-09-21 05:42:05,Jaga nama baik bukalapak agar pelanggan puas ok
Mulyanto Yanto,5,2024-09-21 00:48:23,suka
Farel Cell,1,2024-09-20 21:58:32,"GAK Jadi instal aplikasinya,.. Setelah di baca terlalu banyak bintang 1"
Nasrul Hakim,4,2024-09-20 19:54:53,Madep (mantap) 👍👍👍👍👍
roedhy widjajanto,4,2024-09-20 18:41:39,Kini tinggal kenangan saat-saat kita bersama! Apa aku bisa menikmati kenangan itu lagi? Salahkah aku yg tergoda dari sicantik yg lewat itu dengan pesona yg dibawanya? Wahai siMERAH berdandanlah lagi karna ku lihat bedakmu sudah luntur gincumu sudah pudar! Perbaikilah pesonamu!
Camang Tea,1,2024-09-20 15:50:41,Tolong perbaiki paylatternya.karena sudah tidak bisa di gunakan. Jadi kecewa & pindah ke olshop yg lain. Prioritaskan kepuasan pelanggan.
Yogi Ismawan,2,2024-09-20 12:31:24,"Update jelek saya sering pakai BL namun versi sekarang hancur, jadi mau hapus pakai toko sebelah.silahkan perbaiki sebelum pada hapus BLnya semua pengguna. Search gak bisa lemot, chat gak muncul, transaksi gak muncul2.. Apaan"
radith petee,4,2024-09-20 12:06:52,Voucher gratis ongkir sama cashback kurang banyak
Amar arcery,5,2024-09-20 11:28:55,lumayan
iqin sodiqin,5,2024-09-20 11:04:42,Aplikasi nya sangat membantu tapi ongkir nya jarang ada potongan nya
Topan Supriyadi,3,2024-09-20 08:35:06,"Saya kecewa percuma Ada Paylater tidak bisa digunakan,, saya pernah pake dan pembayaran belum pernah telat dan Skrang tidak bisa di pake. Maaf saya turunin bintang nya"
sex pistols,5,2024-09-20 07:57:04,👍👍
Agus Tarmidi,5,2024-09-20 06:46:22,"Memang gx bisa di sampaikan dengan kata2,BL memang sungguh sangat2 membantu.Belanja barang2 lengkap,Dan bisa lewat pembayaran apa saja, jaya dan Suxses terus BL😘By:Izonk© Rangkasbitung."
Mahesa Mahesa,1,2024-09-20 06:09:05,"Kenapa ini Bukalapak? Verifikasi dimasukin no biasa pakai jawabannya sudah terdaftar di akun lain, terus aku masukin no ke 2 yg belum pernah terdaftar diapk mana pun, tetap sama aja hasilnya. Org butuh cepat malah di buat lambat dan pusing!!!!!!!!!!!!!!"
Petro Maks88,5,2024-09-20 04:57:26,Ok
Sukirman Kirman,5,2024-09-20 01:22:10,Ok
Jalur Gazza,5,2024-09-20 00:25:23,Beli token listrik paling murah
Xc Ng,5,2024-09-19 21:10:20,ok
Viona Adeliakhansa,1,2024-09-19 20:41:42,HATI HATI TRANSAKSI DENGAN BUKALAPAK .MENDING UINSTAL AJA . AKUN BELUM PUNYA TAPI BISA HACK DANA SAYA PRIBADI ..BUKALAPAK TAIIIII
Arii Widjaya,1,2024-09-19 15:01:39,aplikasi buruk
Syahputra Syawaludin,5,2024-09-19 13:33:42,Kenapa Paylater 1 bulan saya tidak bisa digunakan kembali
ody sasongko,5,2024-09-19 13:22:34,Bagus & membantu
AL 01,1,2024-09-19 12:46:07,"Saya mau lihat saldo ko habis semua,ada transaksi saldo telah berhasil di pindahkan ke saldo mitra.notifikasinya gak ada,detail transaksinya gak ada,notifikasi melalui email juga gak ada.bahaya banget ini,bisa pada hilang saldo penjualan.kalau akun di retas biasanya ada tuh hp lain yang aktiv di riwayat login,ini gak ada.aneh bener.coba dong kalau ada transakai pemindahan saldo penjualan ke saldo mitra ada detail transaksinya,ada notifikasinya juga.Layanan Live chat juga gak ada,ini parah."
Cms Cinwa,1,2024-09-19 09:55:55,App paling ribet
